Sample,207Pb_235U,207Pb_235U_2s,206Pb_238U,206Pb_238U_2s,error_corr.
BM22-1,0.007682251,29.23984541,0.001733055,6.197952483,0.211336893
BM22-1,0.010595161,22.64009753,0.001675216,4.292391989,0.188413243
BM22-1,0.010926871,16.69296261,0.001762812,5.863233297,0.350069277
BM22-1,0.014946161,26.53043496,0.001729582,9.90068572,0.372746136
BM22-1,0.007206018,54.88530461,0.001824886,9.669935182,0.175968719
BM22-1,0.007488304,28.3160578,0.001732427,6.992999053,0.246384336
BM22-1,0.018182166,18.91186837,0.001725991,5.058788032,0.266296828
BM22-1,0.008027464,23.81661967,0.001721545,4.765626919,0.199090477
BM22-1,0.014032725,26.79458629,0.001736403,5.828923362,0.21681004
BM22-1,0.015266037,11.17960856,0.001745503,5.226626441,0.465560745
BM22-1,0.009167155,30.95984177,0.001835724,6.903555011,0.222450538
BM22-1,0.013808914,24.97851403,0.001739797,6.291597524,0.251154802
BM22-1,0.011968442,20.23776904,0.001806554,5.46808437,0.269161908
BM22-1,0.006884836,42.75168368,0.001760491,5.764714142,0.134380094
BM22-1,0.01135031,7.004693076,0.001650607,3.760780008,0.532575967
BM22-1,0.012566844,31.16499824,0.001748943,7.599019686,0.243351763
BM22-1,0.010582591,18.31119597,0.001716831,5.674283185,0.308787105
BM22-1,0.009087429,23.20984093,0.001646494,7.10176758,0.305291807
BM22-1,0.012685926,10.80538629,0.001572793,3.761362378,0.338582512
BM22-1,0.012450146,21.01087665,0.001791492,5.339406872,0.250677539
BM22-1,0.012721145,22.77874646,0.001769025,6.514126865,0.28336677
BM22-1,0.012202917,25.73369828,0.00180055,7.23409223,0.279035402
BM22-1,0.010612413,30.08957044,0.001738763,6.182873664,0.203402717
BM22-1,0.011542763,17.89775147,0.001823454,6.073528753,0.33578674
BM22-1,0.012118079,16.4796922,0.001775742,5.968987863,0.358269458
BM22-1,0.007709426,30.41397401,0.001536464,7.572034529,0.247285632
BM22-1,0.01353796,19.10693841,0.001744046,6.701216458,0.347699884
BM22-1,0.011410666,16.57792913,0.00170889,5.363831102,0.319201424
BM22-1,0.012529238,13.0100782,0.001658608,3.80724656,0.284826455
BM22-1,0.013458078,27.56829902,0.001662648,8.132270806,0.293260374
BM22-1,0.010028005,9.712602162,0.001734026,3.506580404,0.349672691
BM22-1,0.011799719,11.42728774,0.001729599,6.690247464,0.580400969
BM22-1,0.012076795,17.77778892,0.001691161,6.646561912,0.370594004
BM22-1,0.011794775,33.56743263,0.001746846,9.495365302,0.281660269
BM22-1,0.010602376,13.43850621,0.001650592,5.302258546,0.389126313
BM22-1,0.008438322,25.4024388,0.001577343,5.367095679,0.208444333
BM22-1,0.013007028,10.48699789,0.001656428,3.508440955,0.324033253
BM22-1,0.010003749,7.994613182,0.00158003,2.281050991,0.264101536
BM22-1,0.009650411,30.33776777,0.001687269,6.32106175,0.206338063
IR22-1,0.014865837,12.7451648,0.001769117,3.763068939,0.292887677
IR22-1,0.016952697,14.76418278,0.001753098,5.499387029,0.371086046
IR22-1,0.012082427,16.61812896,0.001813902,5.267528607,0.315680692
IR22-1,0.013158686,14.12156646,0.001767405,3.484982272,0.244484301
IR22-1,0.011862196,12.38882755,0.001767782,4.382838643,0.351689323
IR22-1,0.010308046,11.75620185,0.001730234,5.163556953,0.437356082
IR22-1,0.011353195,11.99861003,0.001789724,3.81618295,0.315581902
IR22-1,0.012073563,8.586403429,0.001689242,4.78111035,0.554068943
IR22-1,0.013308845,16.78526433,0.001719848,4.083272109,0.241615884
IR22-1,0.011551183,18.4592229,0.001712951,5.372172369,0.289890672
IR22-1,0.011970781,19.572604,0.001679367,5.771284072,0.291439273
IR22-1,0.013434499,18.56538231,0.001755251,6.33214133,0.337780335
IR22-1,0.011914762,28.92057315,0.001732531,5.256860407,0.179223005
IR22-1,0.012639204,23.28139325,0.001718132,4.44945837,0.187379965
IR22-1,0.01264163,11.06727112,0.001674492,3.482185124,0.304594215
IR22-1,0.014077194,7.903115135,0.001768918,3.15501003,0.383687092
IR22-1,0.01128576,6.731816987,0.001730321,3.091760847,0.440677513
IR22-1,0.012501425,9.408335887,0.001672971,4.361142649,0.454105731
IR22-1,0.012479668,8.861551386,0.00166385,3.285846515,0.357503178
IR22-1,0.011309012,28.28513781,0.001742863,7.563941422,0.267417521
IR22-1,0.011561811,21.67023697,0.001727005,10.29680338,0.475158781
IR22-1,0.009171157,15.67126188,0.001726494,5.241267104,0.334450866
IR22-1,0.011048493,10.96585391,0.001676748,4.715527571,0.430019186
IR22-1,0.010564308,14.85409579,0.001690356,6.602262826,0.444474232
IR22-1,0.012447139,19.46988116,0.001670927,5.755744525,0.295622992
IR22-1,0.009795053,12.27936686,0.001753487,4.025058159,0.327790366
IR22-1,0.01188152,12.89012239,0.001655165,5.657696022,0.438917169
IR22-1,0.011403463,26.38213724,0.001717147,7.801297265,0.295703763
IR22-1,0.011142023,11.94207652,0.001717868,3.627577307,0.303764366
IR22-1,0.013691843,10.98023759,0.001621753,4.541210647,0.413580363
IR22-1,0.010063127,25.62482336,0.00171695,7.287965338,0.284410364
IR22-1,0.012350086,13.47291926,0.001784323,5.024897967,0.37296282
IR22-1,0.011300481,11.32082788,0.001757618,6.204611886,0.548070508
IR22-1,0.011520993,16.40644565,0.001726192,6.341673488,0.386535489
